item_id,pair_id,source_type,level,distractor_source_ids
hotpot::5a81a2705542990a1d231e30,5a81a2705542990a1d231e30,bridge,hard,5ade5a645542997c77adee0d;5a7f53ff5542992097ad2f17;5adf72335542992d7e9f935f
hotpot::5addc79d5542995b365fab7b,5addc79d5542995b365fab7b,bridge,hard,5ac1c6805542994ab5c67e11;5a77c74155429967ab105291;5addfdfa5542997dc790710b
hotpot::5ae4094655429970de88d896,5ae4094655429970de88d896,bridge,hard,5a7be2595542997c3ec972ac;5ae1d52f554299234fd04315;5abbf698554299114383a0b5
hotpot::5a76387d554299109176e6ba,5a76387d554299109176e6ba,comparison,hard,5a8b24f255429950cd6afc56;5a7fa97d5542994857a767a9;5ae5c27b554299546bf82f4c
hotpot::5a88a6975542994846c1cea4,5a88a6975542994846c1cea4,bridge,hard,5a7b5aff55429931da12ca6d;5ac048ea554299294b218f74;5a8645825542991e771815eb
hotpot::5a8a3a355542996c9b8d5e5e,5a8a3a355542996c9b8d5e5e,bridge,hard,5a84f5865542991dd0999e30;5a73520c5542994cef4bc53f;5adf5c175542995ec70e8fd0
hotpot::5a7c784055429907fabeef98,5a7c784055429907fabeef98,bridge,hard,5a7f8d755542992097ad2f9d;5ae7f1e65542994a481bbe4a;5ae150ab55429901ffe4ae53
hotpot::5adf39d45542992d7e9f92e5,5adf39d45542992d7e9f92e5,comparison,hard,5abcf17655429959677d6b5c;5ab29346554299545a2cf997;5a883c175542997e5c09a5ae
hotpot::5ab8f3235542991b5579f084,5ab8f3235542991b5579f084,bridge,hard,5a7cd72055429909bec7683b;5adf860e5542993344016cbc;5aba77be55429955dce3ee44
hotpot::5a7a1b845542990783324e5f,5a7a1b845542990783324e5f,bridge,hard,5a8c6ebd5542996e8ac88aa9;5a84f5865542991dd0999e30;5a88cf7e5542993b751ca85b
hotpot::5a8e463a5542995a26add4b7,5a8e463a5542995a26add4b7,comparison,hard,5ae0b2f25542993d6555ec1c;5a83d0ed5542996488c2e4e7;5abbc2245542992ccd8e7f8a
hotpot::5a7fa5b05542994857a7679b,5a7fa5b05542994857a7679b,bridge,hard,5ab602405542992aa134a401;5a8008b95542992097ad2fcf;5ab90d8955429916710eb0f1
hotpot::5a78b3f7554299148911f94c,5a78b3f7554299148911f94c,bridge,hard,5a7605f85542994ccc91868d;5ac403c45542997ea680c9b5;5a871a5e5542996432c5721e
hotpot::5add61d65542995b365fab21,5add61d65542995b365fab21,bridge,hard,5a7a96b055429941d65f26d7;5ae0a48155429945ae9593df;5a734e6d5542994cef4bc528
hotpot::5ab90d8955429916710eb0f1,5ab90d8955429916710eb0f1,bridge,hard,5a8b63fa55429950cd6afcd7;5ab1ea0a554299340b52542a;5a73bcf055429978a71e909c
